"","feature","enrich_group","ef_lda","pvalue","padj"
"marker95","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Rikenellaceae_g__","Healthy",2.52135819582892,0.00332102240026278,0.00332102240026278
"marker96","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcaceae_Clostridium|s__Clostridium orbiscindens","Healthy",2.41793480231685,0.00154030694479204,0.00154030694479204
"marker97","k__Bacteria|p__Tenericutes|c__ML615J-28|o__ML615J-28_o__|f__ML615J-28_o___f__|g__ML615J-28_o___f___g__|s__ML615J-28_o___f___g___s__","Healthy",2.37409497761202,0.0362000078413472,0.0362000078413472
"marker98","k__Bacteria|p__Tenericutes|c__ML615J-28|o__ML615J-28_o__|f__ML615J-28_o___f__|g__ML615J-28_o___f___g__","Healthy",2.37150965074498,0.0362000078413472,0.0362000078413472
"marker99","k__Bacteria|p__Tenericutes|c__ML615J-28","Healthy",2.3693242388851,0.0362000078413472,0.0362000078413472
"marker100","k__Bacteria|p__Actinobacteria|c__Actinobacteria (class)|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella|s__Eggerthella lenta","Healthy",2.36282074127325,0.00218429602488924,0.00218429602488924
"marker101","k__Bacteria|p__Tenericutes|c__ML615J-28|o__ML615J-28_o__|f__ML615J-28_o___f__","Healthy",2.36167879666517,0.0362000078413472,0.0362000078413472
"marker102","k__Bacteria|p__Actinobacteria|c__Actinobacteria (class)|o__Coriobacteriales|f__Coriobacteriaceae|g__Eggerthella","Healthy",2.36065400674421,0.00218429602488924,0.00218429602488924
"marker103","k__Bacteria|p__Tenericutes|c__ML615J-28|o__ML615J-28_o__","Healthy",2.35782286492657,0.0362000078413472,0.0362000078413472
"marker104","k__Bacteria|p__Actinobacteria|c__Actinobacteria (class)|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium longum","Healthy",2.319761840506,0.0265712904380644,0.0265712904380644
"marker105","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila","Healthy",2.24181115379685,0.0066365395338333,0.0066365395338333
"marker106","k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila wadsworthia","Healthy",2.2367011971546,0.0066365395338333,0.0066365395338333
"marker107","k__Bacteria|p__Actinobacteria|c__Actinobacteria (class)|o__Coriobacteriales|f__Coriobacteriaceae|g__Slackia","Healthy",2.12791411296681,0.00312451982004172,0.00312451982004172
